RedIzo;Nazev;Ico;AdresaRUIAN;TypZrizovatele;ZrizovatelIco;ZrizovatelNazev;SkolaIzo;SkolaNazev;DruhSkoly;SkolaAdresa;EditorIco;EditorNazev;t1;t2;t3;t4;t5;t6;t7;t8;t9;Stupen
600037894;Mateøská škola Nad Parkem;70098093;22141952;2;241857;Mìstská èást Praha - Zbraslav;107502127;Mateøská škola;A00;22141952;64581;Hlavní mìsto Praha;;;;;;;;;;
600035191;Mateøská škola Národní se zamìøením na ranou péèi;63832925;21719659;2;63410;Mìstská èást Praha 1;107500094;Mateøská škola;A00;21719659;64581;Hlavní mìsto Praha;;;;;;;;;;
600040763;Mateøská škola Náš svìt, Praha 10, pøíspìvková organizace;70924147;25406558;2;63941;Mìstská èást Praha 10;107504448;Mateøská škola;A00;25406558;64581;Hlavní mìsto Praha;;;;;;;;;;
600040046;Mateøská škola Novoborská;70920168;22507515;2;63894;Mìstská èást Praha 9;107503719;Mateøská škola;A00;22507515;64581;Hlavní mìsto Praha;;;;;;;;;;
600036235;Mateøská škola Oáza v Praze 12;48135542;21852928;2;231151;Mìstská èást Praha 12;48135542;Mateøská škola;A00;21852928;64581;Hlavní mìsto Praha;;;;;;;;;;
600040178;Mateøská škola Obláèek, Praha 9 - Èernı Most, Šebelova 874;70884498;22733272;2;231312;Mìstská èást Praha 14;108001474;Mateøská škola;A00;22733272;64581;Hlavní mìsto Praha;;;;;;;;;;
600035182;Mateøská škola Opletalova;63832909;21707316;2;63410;Mìstská èást Praha 1;102385025;Mateøská škola;A00;21707316;64581;Hlavní mìsto Praha;;;;;;;;;;
600038041;Mateøská škola PALETKA, Praha 13, Trávníèkova 1747;75030811;22120912;2;241687;Mìstská èást Praha 13;102385165;Mateøská škola;A00;22120912;64581;Hlavní mìsto Praha;;;;;;;;;;
691004412;Mateøská škola PALOUÈEK, Praha 13, Husníkova 2075, pøíspìvková organizace;71294015;22693840;2;241687;Mìstská èást Praha 13;181038471;Mateøská škola;A00;22693840;64581;Hlavní mìsto Praha;;;;;;;;;;
691005494;Mateøská škola Pampeliška;71294074;22224637;2;231207;Mìstská èást Praha - Lysolaje;181048523;Mateøská škola;A00;22224637;64581;Hlavní mìsto Praha;;;;;;;;;;
600038858;Mateøská škola Parléøova;70920605;22215298;2;63703;Mìstská èást Praha 6;107502411;Mateøská škola;A00;22215298;64581;Hlavní mìsto Praha;;;;;;;;;;
600036898;Mateøská škola Pastelka v Praze 12;63832313;21939420;2;231151;Mìstská èást Praha 12;102401527;Mateøská škola;A00;21939420;64581;Hlavní mìsto Praha;;;;;;;;;;
600037614;Mateøská škola PASTELKA, Praha 13, Horákova 2064;61386162;22123997;2;241687;Mìstská èást Praha 13;102525897;Mateøská škola;A00;22123997;64581;Hlavní mìsto Praha;;;;;;;;;;
600038653;Mateøská škola Pastelka, Praha 6 - Øepy, Španielova 27/1316;70974179;22722581;2;231223;Mìstská èást Praha 17;108000419;Mateøská škola;A00;22722581;64581;Hlavní mìsto Praha;;;;;;;;;;
600038076;Mateøská škola PÍŠALKA, Praha 13, Chlupova 1798;75030853;22121421;2;241687;Mìstská èást Praha 13;102385181;Mateøská škola;A00;22121421;64581;Hlavní mìsto Praha;;;;;;;;;;
691009694;Mateøská škola Pitkovice, pøíspìvková organizace, Praha 10, Hlívová 303/4;5282446;75196085;2;240915;Mìstská èást Praha 22;181081407;Mateøská škola;A00;75196085;64581;Hlavní mìsto Praha;;;;;;;;;;
600040291;Mateøská škola Pod Krocínkou;70920371;22544127;2;63894;Mìstská èást Praha 9;107503972;Mateøská škola;A00;22544127;64581;Hlavní mìsto Praha;;;;;;;;;;
600036758;Mateøská škola Podsaïáèek v Praze 12;63832275;21916195;2;231151;Mìstská èást Praha 12;107501376;Mateøská škola;A00;21916195;64581;Hlavní mìsto Praha;;;;;;;;;;
600036448;Mateøská škola Pohádka v Praze 12;63832267;21854467;2;231151;Mìstská èást Praha 12;107504545;Mateøská škola;A00;21854467;64581;Hlavní mìsto Praha;;;;;;;;;;
600038092;Mateøská škola POHÁDKA, Praha 13, Janského 2187;75030870;22694447;2;241687;Mìstská èást Praha 13;102761191;Mateøská škola;A00;22694447;64581;Hlavní mìsto Praha;;;;;;;;;;
600037631;Mateøská škola Praha  - Radotín;70882541;22058079;2;241598;Mìstská èást Praha 16;102537267;Mateøská škola;A00;22058079;64581;Hlavní mìsto Praha;;;;;;;;;;
600041069;Mateøská škola Praha - Kolovraty;70925526;25791397;2;240346;Mìstská èást Praha - Kolovraty;107504065;Mateøská škola;A00;25791397;64581;Hlavní mìsto Praha;;;;;;;;;;
600037711;Mateøská škola Praha - Lochkov, Praha - Lochkov, Za Ovèínem 1;71008292;86492241;2;241458;Mìstská èást Praha - Lochkov;107501821;Mateøská škola;A00;86492241;64581;Hlavní mìsto Praha;;;;;;;;;;
600038106;Mateøská škola Praha 5 - Øeporyje;70872392;22066900;2;241628;Mìstská èást Praha - Øeporyje;107501929;Mateøská škola;A00;22066900;64581;Hlavní mìsto Praha;;;;;;;;;;
600040224;Mateøská škola Praha 9 - Satalice;70987726;22512969;2;240711;Mìstská èást Praha - Satalice;107503743;Mateøská škola;A00;22512969;64581;Hlavní mìsto Praha;;;;;;;;;;
600036031;Mateøská škola Praaèka, Praha 3, Za ikovskou vozovnou 17/1700;65993161;21785538;2;63517;Mìstská èást Praha 3;107500507;Mateøská škola;A00;21785538;64581;Hlavní mìsto Praha;;;;;;;;;;
600035221;Mateøská škola Pštrossova;67365949;21702918;2;63410;Mìstská èást Praha 1;107500116;Mateøská škola;A00;21702918;64581;Hlavní mìsto Praha;;;;;;;;;;
600035174;Mateøská škola Revoluèní;70108811;21710881;2;63410;Mìstská èást Praha 1;107500141;Mateøská škola;A00;21710881;64581;Hlavní mìsto Praha;;;;;;;;;;
600040275;Mateøská škola Rohoník, Praha 9 - Újezd nad Lesy, árovická 1653;63832372;22532242;2;240923;Mìstská èást Praha 21;107503956;Mateøská škola;A00;22532242;64581;Hlavní mìsto Praha;;;;;;;;;;
600037967;Mateøská škola ROSNIÈKA, Praha 13, Bìhounkova 2474;61386171;26127121;2;241687;Mìstská èást Praha 13;108022951;Mateøská škola;A00;26127121;64581;Hlavní mìsto Praha;;;;;;;;;;
600037606;Mateøská škola ROZMARİNEK, Praha 13, Chlupova 1799;75030845;22121439;2;241687;Mìstská èást Praha 13;102385459;Mateøská škola;A00;22121439;64581;Hlavní mìsto Praha;;;;;;;;;;
600036511;Mateøská škola Ryšánka, Praha 4, Halasova 1069;61384411;21867941;2;63584;Mìstská èást Praha 4;107501091;Mateøská škola;A00;21867941;64581;Hlavní mìsto Praha;;;;;;;;;;
600035484;Mateøská škola s internátní péèí, Praha 2, Španìlská 16;70890897;21756171;2;63461;Mìstská èást Praha 2;107500396;Mateøská škola;A00;21756171;64581;Hlavní mìsto Praha;;;;;;;;;;
600038882;Mateøská škola Sbíhavá;70885401;22220518;2;63703;Mìstská èást Praha 6;107502453;Mateøská škola;A00;22220518;64581;Hlavní mìsto Praha;;;;;;;;;;
600037681;Mateøská škola se speciálními tøídami DUHA Praha 5 - Košíøe, Trojdílná 1117, pøíspìvková organizace;70107742;22029818;2;63631;Mìstská èást Praha 5;107501791;Mateøská škola;A00;22029818;64581;Hlavní mìsto Praha;;;;;;;;;;
